Arad: 		[Zerind,Sibiu,Timisoara]
Oradea: 	[Zerind,Sibiu]
Zerind: 	[Arad,Oradea]
Timisoara: 	[Arad,Lugoj]
Lugoj: 		[Timisoara,Mehadia]
Sibiu: 		[Arad,Oradea,Rimnicu,Fagaras]
Fagaras: 	[Sibiu,Bucharest]
Mehadia: 	[Lugoj,Dobreta]
Dobreta: 	[Mehadia,Craiova]
Craiova: 	[Dobreta,Rimnicu,Pitesti]
Pitesti: 	[Rimnicu,Craiova,Bucharest]
Rimnicu: 	[Sibiu,Pitesti,Craiova]
Bucharest: 	[Fagaras,Pitesti,Urziceni,Giurgiu]
Urziceni: 	[Bucharest,Hirsova,Vaslui]
Hirsova: 	[Urziceni,Eforie]
Vaslui: 	[Urziceni,Iasi]
Iasi:		[Neamt,Vaslui]
Giurgiu:	[Bucharest]
Eforie:		[Hirsova]
Neamt:		[Iasi]
